"asset_class","column","generated_value","db_value","confirmed","notes"
"bonds","coupon_frequency","Annual","Annual","yes","seen in Sample_issuance_data_IIILN"
"bonds","coupon_frequency","Semi-Annual","Semi Annual","yes","DB drops the hyphen - seen in samples"
"bonds","day_count","30/360","30/360","yes","seen in Sample_issuance_IIILN"
"bonds","day_count","Actual/Actual","Actual/Actual","no","may normalise to 'Actual/Actual (ICMA)' - calibrate"
"bonds","day_count","ACT/360","ACT/360","no","calibrate on first run"
"bonds","registration_type","Reg S","Reg S","yes","identity - a Reg S-only tranche carries Reg S up (user 2026-08-10)"
"bonds","registration_type","144A","144A","yes","identity - app value"
"bonds","registration_type","144A/Reg S","144A/Reg S","yes","identity - 144A/Reg S is itself an app value (user 2026-08-10). Was wrongly SEC Registered"
"bonds","tranche_reg_type","Reg S","Reg S","yes","identity - shares the registration_type vocabulary"
"bonds","tranche_reg_type","144A","144A","yes","identity - shares the registration_type vocabulary"
"bonds","tranche_reg_type","144A/Reg S","144A/Reg S","yes","identity - shares the registration_type vocabulary. Was wrongly SEC Registered"
"bonds","use_of_proceeds","General Corporate Purposes","GENERAL CORPORATE PURPOSES","yes","app dropdown confirmed (user 2026-08-10)"
"bonds","use_of_proceeds","The net proceeds of this offering will be used for general corporate purposes, which may include capital expenditures and repayment of indebtedness.","GENERAL CORPORATE PURPOSES","yes","rule: 'general corporate purposes' anywhere in the text wins (user 2026-08-10)"
"bonds","use_of_proceeds","To refinance short-term debt and fund capital expenditures and working capital","REPAY OUTSTANDING BORROWINGS","no","REFINANCING is not an allowed value; OTHER is the alternative - confirm with app owners"
"bonds","bond_class","Investment Grade","Ig","yes","seen in pbi.t_issuance_data on the Automation environment"
"bonds","bond_class","High Yield","Hy","yes","seen in pbi.t_issuance_data on the Automation environment"
"bonds","registration_type","Global/IPO","Global/IPO","yes","identity - app value (user list 2026-08-10)"
"bonds","tranche_reg_type","Global/IPO","Global/IPO","yes","identity - shares the registration_type vocabulary"
"bonds","registration_type","Other","Other","yes","identity - app value (user list 2026-08-10)"
"bonds","tranche_reg_type","Other","Other","yes","identity - shares the registration_type vocabulary"
"bonds","registration_type","Sec Exempt","Sec Exempt","yes","identity - app value (user list 2026-08-10)"
"bonds","tranche_reg_type","Sec Exempt","Sec Exempt","yes","identity - shares the registration_type vocabulary"
"bonds","registration_type","Sec Registered","Sec Registered","yes","identity - app value (user list 2026-08-10)"
"bonds","tranche_reg_type","Sec Registered","Sec Registered","yes","identity - shares the registration_type vocabulary"
"bonds","registration_type","Unknown","Unknown","yes","identity - app value (user list 2026-08-10)"
"bonds","tranche_reg_type","Unknown","Unknown","yes","identity - shares the registration_type vocabulary"
"bonds","use_of_proceeds","OTHER","OTHER","yes","identity - app value (user list 2026-08-10)"
"bonds","registration_type","REGS","Reg S","yes","emails write REGS; the app stores 'Reg S'"
"bonds","registration_type","144A/REGS","144A/Reg S","yes","email spelling seen in SpaceX / ING samples"
"bonds","tranche_reg_type","REGS","Reg S","yes","emails write REGS; the app stores 'Reg S'"
"bonds","regulation_subcategory","3(a)2","3(a)2","yes","identity - app value (user list 2026-08-10)"
"bonds","regulation_subcategory","Bearer","Bearer","yes","identity - app value (user list 2026-08-10)"
"bonds","regulation_subcategory","Category 1","Category 1","yes","identity - app value (user list 2026-08-10)"
"bonds","regulation_subcategory","Category 2","Category 2","yes","identity - app value (user list 2026-08-10)"
"bonds","regulation_subcategory","Category 3","Category 3","yes","identity - app value (user list 2026-08-10)"
"bonds","regulation_subcategory","Dematerialized or Other TEFRA N/A","Dematerialized or Other TEFRA N/A","yes","identity - app value (user list 2026-08-10)"
"bonds","regulation_subcategory","Registered TEFRA N/A","Registered TEFRA N/A","yes","identity - app value (user list 2026-08-10)"
"bonds","regulation_subcategory","Without Reg Rights","Without Reg Rights","yes","identity - app value (user list 2026-08-10)"
"bonds","regulation_subcategory","With Reg Rights","With Reg Rights","yes","identity - app value (user list 2026-08-10)"
"bonds","regulation_subcategory","YANKEE","YANKEE","yes","identity - app value (user list 2026-08-10)"
"bonds","regulation_subcategory","3a2","3(a)2","yes","emails write 3a2; the app stores '3(a)2' (USB sample)"
"bonds","regulation_subcategory","with Registration Rights","With Reg Rights","yes","email phrasing seen in the SpaceX sample (printed there as a typo, ""Registation"")"
"bonds","esg_type","Green","Green","yes","user 2026-08-10; the rest of the esg_type vocabulary is not yet known"
